startphrase,ending,startphrase_lem,ending_lem,labels,qid,xid,simile,negation,intensification,negation all,not all
Her word had the strength of titanium.,Her promises can be believed.,Her word have the strength of titanium . ,Her promise can be believe . ,0,10,10_0,the-of,0,not,aff,FALSE
Her word had the strength of a wine glass.,Her promises cannot be trusted.,Her word have the strength of a wine glass . ,Her promise can not be trust . ,1,10,10_1,the-of,not,0,neg,TRUE
His kisses have the passion of lovers meeting after a long separation.,His kisses are demonstrative and intense.,His kiss have the passion of lover meet after a long separation . ,His kiss be demonstrative and intense . ,0,11,11_0,the-of,0,0,aff,FALSE
His kisses have the passion of a couple in a loveless marriage.,His kiss is unemotional.,His kiss have the passion of a couple in a loveless marriage . ,His kiss be unemotional . ,1,11,11_1,the-of,0,0,aff,FALSE
This winter is as cold as my mother-in-law towards me,It's very cold,This winter be as cold as my mother in law towards me ,It very cold ,0,14,14_0,as-as,0,as as,aff,FALSE
This winter is as cold as Death Valley at noon,It's pretty warm,This winter be as cold as Death Valley at noon ,It pretty warm ,1,14,14_1,as-as,as as,0,aff,FALSE
The dog was as grumpy as an old man,he was mean,The dog be as grumpy as an old man ,he be mean ,0,22,22_0,as-as,0,0,aff,FALSE
The dog was as grumpy as a kindergarten teacher,he was nice,The dog be as grumpy as a kindergarten teacher ,he be nice ,1,22,22_1,as-as,0,0,aff,FALSE
The voyage was as long as a lifetime,The voyage was very long,The voyage be as long as a lifetime ,The voyage be very long ,0,24,24_0,as-as,0,as as,aff,FALSE
The voyage was as long as the blink of an eye,The voyage as short.,The voyage be as long as the blink of an eye ,The voyage as short . ,1,24,24_1,as-as,as as,0,aff,FALSE
He had all the wealth of a tycoon,He was rich.,He have all the wealth of a tycoon ,He be rich . ,0,26,26_0,the-of,0,0,aff,FALSE
He had all the wealth of a hobo,He was poor.,He have all the wealth of a hobo ,He be poor . ,1,26,26_1,the-of,0,0,aff,FALSE
It smells like a freshly baked cookies on Christmas morning,It smells great,It smell like a freshly baked cooky on Christmas morning ,It smell great ,0,31,31_0,like,0,0,aff,FALSE
It smells like a cesspool sitting in the hot sun,It smells awful,It smell like a cesspool sit in the hot sun ,It smell awful ,1,31,31_1,like,0,0,aff,FALSE
The conversation is a bank vault,The conversation is worthwhile.,The conversation be a bank vault ,The conversation be worthwhile . ,0,33,33_0,,0,0,aff,FALSE
The conversation is a 25 cent off coupon,The conversation is meaningless.,The conversation be a 25 cent off coupon ,The conversation be meaningless . ,1,33,33_1,,0,0,aff,FALSE
The motivational push was a bulldozer,The motivational push was very motivating.,The motivational push be a bulldozer ,The motivational push be very motivating . ,0,34,34_0,,0,0,aff,FALSE
The motivational push was a light breeze,The motivational push didn't work well.,The motivational push be a light breeze ,The motivational push do not work well . ,1,34,34_1,,0,0,neg,TRUE
Money is a helpful stranger,Money is good,Money be a helpful stranger ,Money be good ,0,36,36_0,,0,0,aff,FALSE
Money is a murderer,Money is bad,Money be a murderer ,Money be bad ,1,36,36_1,,0,0,aff,FALSE
The conversation was the OJ Simpson trial,The conversation was long,The conversation be the OJ Simpson trial ,The conversation be long ,0,37,37_0,,0,0,aff,FALSE
