startphrase,ending1,ending2,labels,xid
She is honest,She can be trusted,She can not be trusted,0,10_0
she is dishonest,She can be trusted,She can not be trusted,1,10_1
The student was cooperative,He was helpful,he was not helpful,0,40_0
The student was uncooperative,He was helpful,he was not helpful,1,40_1
The man was stylish,The man was cool,The man was not cool,0,50_0
The man was unfashionable,The man was cool,The man was not cool,1,50_1
The child was devout,The child was religious,The child was not religious,0,63_0
The child was atheistic,The child was religious,The child was not religious,1,63_1
The hangover made her feel terrible,She felt bad,She did not feel bad,0,87_0
The hangover made her feel good,She felt bad,She did not feel bad,1,87_1
The room was unenclosed,The room was open,The room was not open,0,89_0
The room was enclosed,The room was open,The room was not open,1,89_1
His joints are crackly,His joints snap,His joints do not snap,0,92_0
His joints are silent,His joints snap,His joints do not snap,1,92_1
The toy was cherished,The toy was cared for,The toy was not cared for,0,102_0
The toy was neglected,The toy was cared for,The toy was not cared for,1,102_1
The movie is humorous,The movie is funny,The movie is not funny,0,113_0
The movie is boring,The movie is funny,The movie is not funny,1,113_1
The couch was nice to sit on,The couch was comfortable,The couch was not comfortable,0,131_0
The couch was nasty to sit on,The couch was comfortable,The couch was not comfortable,1,131_1
The incense has a sweet smell,The incense smells good,The incense does not smell good,0,138_0
The incense has a disgusting smell,The incense smells good,The incense does not smell good,1,138_1
The girl was thirsty,The girl needed water,The girl did not need water,0,139_0
The girl was hydrated,The girl needed water,The girl did not need water,1,139_1
The room was bright,The room was well lit,The room was not well lit,0,143_0
The room was dark,The room was well lit,The room was not well lit,1,143_1
The sun was shining,The sun was very bright,The sun was not very bright,0,144_0
The sun was dim,The sun was very bright,The sun was not very bright,1,144_1
The sand feels smooth,it's coarse,it's not coarse,1,175_0
The sand feels rough,it's coarse,it's not coarse,0,175_1
She was experienced,She was skillful,She was not skillful,0,185_0
She was inexperienced,She was skillful,She was not skillful,1,185_1
The movie ending was straightforward,The movie ending made sense,The movie ending did not make sense,0,200_0
The movie ending was confusing,The movie ending made sense,The movie ending did not make sense,1,200_1
She was boring,She wasn't entertaining.,She was very entertaining.,0,205_0
She was fun,She wasn't entertaining.,She was very entertaining.,1,205_1
The cat had a lot of hair,The cat was furry,The cat was not furry,0,215_0
The cat was bald,The cat was furry,The cat was not furry,1,215_1
The disease was severe,The disease was very serious,The disease was not serious,0,234_0
The disease was minor,The disease was very serious,The disease was not serious,1,234_1
The wood floor is smooth,The floor is not slippery,The floor is slippery,1,238_0
The wood floor is rough,The floor is not slippery,The floor is slippery,0,238_1
He's tireless,He's busy,He's not busy,0,261_0
He's lazy,He's busy,He's not busy,1,261_1
The book is chunky,The book is thick,The book is not thick,0,262_0
The book is thin,The book is thick,The book is not thick,1,262_1
The man's muscles are big,The man is muscular,The man is not muscular,0,264_0
The man's muscles are small,The man is muscular,The man is not muscular,1,264_1
The computer is efficient,The computer is fast,The computer is not fast,0,267_0
The computer is slow,The computer is fast,The computer is not fast,1,267_1
He is a coward,He is not brave,He is brave,0,269_0
He is a hero,He is not brave,He is brave,1,269_1
The vase was weak,The vase is fragile,The vase is not fragile,0,280_0
The vase was strong,The vase is fragile,The vase is not fragile,1,280_1
She was a close friend to him,He knew her well,He didn't know her well,0,293_0
She was a stranger to him,He knew her well,He didn't know her well,1,293_1
It was freezing,It wasn't hot,It was hot,0,295_0
It was scorching,It wasn't hot,It was hot,1,295_1
The elderly cat is tired,The cat is not hyperactive,The cat is hyperactive,0,305_0
The elderly cat has a lot of energy,The cat is not hyperactive,The cat is hyperactive,1,305_1
The work was mediocre,the work was amazing,the work was not amazing,1,309_0
The work was exceptional,the work was amazing,the work was not amazing,0,309_1
The child was intelligent,The child was smart,The child was not smart,0,317_0
The child was stupid,The child was smart,The child was not smart,1,317_1
The government was very productive,The government was efficient,The government was not efficient,0,323_0
The government was unproductive,The government was efficient,The government was not efficient,1,323_1
She's lovely,She's sweet,She's not sweet,0,329_0
She's horrible,She's sweet,She's not sweet,1,329_1
The letter was touching,The letter was heartwarming.,The letter wasn't heartwarming,0,333_0
The letter was distressing,The letter was heartwarming.,The letter wasn't heartwarming,1,333_1
The tree canopy has a small shadows,The tree canopy does not provide shade,The tree canopy provides shade,0,350_0
The tree canopy has a large shadows,The tree canopy does not provide shade,The tree canopy provides shade,1,350_1
The You Tube tutorial was unenlightening,The You Tube tutorial wasn't informative,The You Tube tutorial was informative,0,369_0
The You Tube tutorial was enlightening,The You Tube tutorial wasn't informative,The You Tube tutorial was informative,1,369_1
He was frightened,he was scared,he wasn't scared,0,383_0
He was fearless,he was scared,he wasn't scared,1,383_1
It was effortless,It was easy,It was not easy,0,396_0
It was difficult,It was easy,It was not easy,1,396_1
The clone was indistinguishable,The clone is identical,The clone isn't identical,0,411_0
The clone was dissimilar,The clone is identical,The clone isn't identical,1,411_1
