startphrase,ending1,ending2,labels,qid
Her word have the strength of titanium . ,Her promise can be believe . ,Her promise can not be trust . ,0,10
Her word have the strength of a wine glass . ,Her promise can be believe . ,Her promise can not be trust . ,1,10
His kiss have the passion of lover meet after a long separation . ,His kiss be demonstrative and intense . ,His kiss be unemotional . ,0,11
His kiss have the passion of a couple in a loveless marriage . ,His kiss be demonstrative and intense . ,His kiss be unemotional . ,1,11
This winter be as cold as my mother in law towards me ,It very cold ,It pretty warm ,0,14
This winter be as cold as Death Valley at noon ,It very cold ,It pretty warm ,1,14
The dog be as grumpy as an old man ,he be mean ,he be nice ,0,22
The dog be as grumpy as a kindergarten teacher ,he be mean ,he be nice ,1,22
The voyage be as long as a lifetime ,The voyage be very long ,The voyage as short . ,0,24
The voyage be as long as the blink of an eye ,The voyage be very long ,The voyage as short . ,1,24
He have all the wealth of a tycoon ,He be rich . ,He be poor . ,0,26
He have all the wealth of a hobo ,He be rich . ,He be poor . ,1,26
It smell like a freshly baked cooky on Christmas morning ,It smell great ,It smell awful ,0,31
It smell like a cesspool sit in the hot sun ,It smell great ,It smell awful ,1,31
The conversation be a bank vault ,The conversation be worthwhile . ,The conversation be meaningless . ,0,33
The conversation be a 25 cent off coupon ,The conversation be worthwhile . ,The conversation be meaningless . ,1,33
The motivational push be a bulldozer ,The motivational push be very motivating . ,The motivational push do not work well . ,0,34
The motivational push be a light breeze ,The motivational push be very motivating . ,The motivational push do not work well . ,1,34
Money be a helpful stranger ,Money be good ,Money be bad ,0,36
Money be a murderer ,Money be good ,Money be bad ,1,36
The conversation be the OJ Simpson trial ,The conversation be long ,The conversation be short ,0,37
The conversation be a cigarette break ,The conversation be long ,The conversation be short ,1,37
The sea on the voyage be glass ,The sea be calm ,The sea be rough ,0,38
The sea on the voyage be a rock quarry ,The sea be calm ,The sea be rough ,1,38
The student be as helpful as medicine ,he be a big help ,he be not need ,0,40
The student be as helpful as a punch in the face ,he be a big help ,he be not need ,1,40
Their relationship have the heat of Miami in August ,Their relationship be passionate ,Their relationship be lack passion . ,0,42
Their relationship have the heat of an igloo . ,Their relationship be passionate ,Their relationship be lack passion . ,1,42
The voyage will be a walk through fire . ,The voyage will be difficult and arduous . ,The voyage will be pleasant . ,0,46
The voyage will be a walk through flower . ,The voyage will be difficult and arduous . ,The voyage will be pleasant . ,1,46
For him earn money be oxygen . ,Making money keep him alive . ,Making money be kill him . ,0,47
For him earn money be a rope around his neck . ,Making money keep him alive . ,Making money be kill him . ,1,47
The speaker be as quiet as a newborn baby . ,The speaker be very quiet . ,The speaker be actually rather loud . ,0,49
The speaker be as quiet as a freight train . ,The speaker be very quiet . ,The speaker be actually rather loud . ,1,49
The man be as cool as ice ,The man be very cool . ,The man be not cool at all . ,0,50
The man be as cool as sunburn ,The man be very cool . ,The man be not cool at all . ,1,50
The wedding planner be an imposter . ,The wedding planner do a horrible job plan the wedding . ,The wedding planner do wonderfully plan the wedding . ,0,51
The wedding planner be a magician . ,The wedding planner do a horrible job plan the wedding . ,The wedding planner do wonderfully plan the wedding . ,1,51
The dancer move like a butterfly ,the dancer be graceful ,The dancer be lead footed ,0,54
The dancer move like a horse . ,the dancer be graceful ,The dancer be lead footed ,1,54
the pizza taste like homemade ,it be delicious ,it be garbage ,0,56
the pizza taste like yesterday leftover ,it be delicious ,it be garbage ,1,56
The painting have the creativity of a bowl of oatmeal ,The movie be really dull . ,The movie be really creative . ,0,61
The painting have the creativity of a James Cameron movie ,The movie be really dull . ,The movie be really creative . ,1,61
The child be as religious as a priest ,The child be very religious ,The child be not religious ,0,63
The child be as religious as a sinner ,The child be very religious ,The child be not religious ,1,63
The woman be as kind as a teacher ,The woman be kind ,The woman be cruel ,0,64
The woman be as kind as a prisoner ,The woman be kind ,The woman be cruel ,1,64
The test be as easy as a Sunday morning ,the test be easy ,the test be hard ,0,70
The test be as easy as rocket science ,the test be easy ,the test be hard ,1,70
She be happy as a clam ,she be elate ,she be mad ,0,71
She be happy as a bear that step on a thorn ,she be elate ,she be mad ,1,71
The employee be sharp as a razor ,The employee be smart . ,The employee be dumb . ,0,74
The employee be sharp as a bowling ball ,The employee be smart . ,The employee be dumb . ,1,74
The tourist think the bed at the hotel felt like velvet ,The bed be soft . ,The bed be hard . ,0,76
The tourist think the bed at the hotel felt like marble ,The bed be soft . ,The bed be hard . ,1,76
When the rubber hit the road . life get real ,thing get intense ,thing get worse ,0,77
When the rubber hit the road . thing go down hill ,thing get intense ,thing get worse ,1,77
The pianist performance be a game of whack a mole . ,The pianist performance be sloppy . ,The pianist performance be meticulous . ,0,79
The pianist performance be the weaving of an ornate Persian carpet . ,The pianist performance be sloppy . ,The pianist performance be meticulous . ,1,79
The girl personality be as sweet as a grapefruit ,The girl have a very surly personality . ,The girl have a sweet personality . ,0,82
The girl personality be as sweet as a donut ,The girl have a very surly personality . ,The girl have a sweet personality . ,1,82
The movie have as much meaning as a Hallmark card ,The movie meaning be frivolous . ,The movie be laden with meaning . ,0,83
The movie have as much meaning as the Bible ,The movie meaning be frivolous . ,The movie be laden with meaning . ,1,83
The jazz solo sound as smooth as silk ,The jazz solo sound nice and smooth ,The jazz solo sound rough and bad ,0,85
The jazz solo sound as smooth as sandpaper ,The jazz solo sound nice and smooth ,The jazz solo sound rough and bad ,1,85
Her hangover make her feel like death ,Her hangover make her feel terrible . ,Her hangover do not hurt her at all . ,0,87
Her hangover make her feel like a sunrise ,Her hangover make her feel terrible . ,Her hangover do not hurt her at all . ,1,87
The room be as open as a farm . ,The room be very open . ,The room be not open at all . ,0,89
The room be as open as a city . ,The room be very open . ,The room be not open at all . ,1,89
His joint have the crackle of a bowl of Rice Krispies ,His joint be quite crackly ,His joint do not crackle ,0,92
His joint have the crackle of a pre pop roll of bubble wrap ,His joint be quite crackly ,His joint do not crackle ,1,92
The lightbulb be put out the light of a massive forest fire on a dark night ,The lightbulb be put out a lot of light ,The lightbulb be put out no light ,0,93
The lightbulb be put out the light of a massive black hole in the darkness of space ,The lightbulb be put out a lot of light ,The lightbulb be put out no light ,1,93
The thrift store have the variety of a monochrome print . ,The thrift store have a limited selection . ,The thrift store have a varied selection . ,0,95
The thrift store have the variety of a dazzling tapestry . ,The thrift store have a limited selection . ,The thrift store have a varied selection . ,1,95
The doctor be a Norse villain . ,The doctor be mean . ,The doctor be kind and charming . ,0,96
The doctor be a fairytale prince . ,The doctor be mean . ,The doctor be kind and charming . ,1,96
The sound of the glass shattering be like Hiroshima ,The sound be loud ,The sound be quiet ,0,98
The sound of the glass shattering be like a lullaby ,The sound be loud ,The sound be quiet ,1,98
She be a bear at dinner ,She eat a lot ,She eat very little ,0,99
She be a mouse at dinner ,She eat a lot ,She eat very little ,1,99
The armor be tough as iron ,The armor be tough ,The armor be breakable and weak ,0,100
The armor be tough as glass ,The armor be tough ,The armor be breakable and weak ,1,100
The toy be care for like a baby ,The toy be take good care of ,The toy be not care for well at all . ,0,102
The toy be care for like trash ,The toy be take good care of ,The toy be not care for well at all . ,1,102
The lawyer negotiation tactic be like steel ,The lawyer negotiation tactic be tough . ,The lawyer negotiation tactic be lenient . ,0,103
