startphrase,ending1,ending2,labels,xid,adj_negation_pair
She be honest ,She can be trust ,She can not be trust ,0,10_0,
she be dishonest ,She can be trust ,She can not be trust ,1,10_1,1
The student be cooperative ,He be helpful ,he be not helpful ,0,40_0,
The student be uncooperative ,He be helpful ,he be not helpful ,1,40_1,1
The man be stylish ,The man be cool ,The man be not cool ,0,50_0,
The man be unfashionable ,The man be cool ,The man be not cool ,1,50_1,1
The child be devout ,The child be religious ,The child be not religious ,0,63_0,
The child be atheistic ,The child be religious ,The child be not religious ,1,63_1,1
The hangover make her feel terrible ,She felt bad ,She do not feel bad ,0,87_0,
The hangover make her feel good ,She felt bad ,She do not feel bad ,1,87_1,
The room be unenclosed ,The room be open ,The room be not open ,0,89_0,2
The room be enclose ,The room be open ,The room be not open ,1,89_1,
His joint be crackly ,His joint snap ,His joint do not snap ,0,92_0,
His joint be silent ,His joint snap ,His joint do not snap ,1,92_1,
The toy be cherish ,The toy be care for ,The toy be not care for ,0,102_0,
The toy be neglect ,The toy be care for ,The toy be not care for ,1,102_1,
The movie be humorous ,The movie be funny ,The movie be not funny ,0,113_0,
The movie be bore ,The movie be funny ,The movie be not funny ,1,113_1,
The couch be nice to sit on ,The couch be comfortable ,The couch be not comfortable ,0,131_0,
The couch be nasty to sit on ,The couch be comfortable ,The couch be not comfortable ,1,131_1,
The incense have a sweet smell ,The incense smell good ,The incense do not smell good ,0,138_0,
The incense have a disgusting smell ,The incense smell good ,The incense do not smell good ,1,138_1,
The girl be thirsty ,The girl need water ,The girl do not need water ,0,139_0,
The girl be hydrate ,The girl need water ,The girl do not need water ,1,139_1,
The room be bright ,The room be well lit ,The room be not well light ,0,143_0,
The room be dark ,The room be well lit ,The room be not well light ,1,143_1,
The sun be shin ,The sun be very bright ,The sun be not very bright ,0,144_0,
The sun be dim ,The sun be very bright ,The sun be not very bright ,1,144_1,
The sand feel smooth ,it be coarse ,it be not coarse ,1,175_0,
The sand feel rough ,it be coarse ,it be not coarse ,0,175_1,
She be experienced ,She be skillful ,She be not skillful ,0,185_0,
She be inexperienced ,She be skillful ,She be not skillful ,1,185_1,1
